# de-reddened line ratios for NGC 3242, F(Hβ) ≡ 100
# name             λ_rest    F_obs(cgs)   F/F(Hβ)_obs  F/F(Hβ)_dered
  [O II] 3727     3727.40    6.530e-13        3.31          3.54
  Hδ              4101.70    4.921e-12       24.97         26.18
  Hγ              4340.50    7.620e-12       38.66         39.93
  He II 4686      4685.70    9.540e-12       48.40         48.90
  Hβ              4861.30    1.971e-11      100.00        100.00
  [O III] 4959    4958.90    8.274e-11      419.80        417.58
  [O III] 5007    5006.80    2.143e-10     1087.27       1078.86
  He I 5876       5875.60    1.854e-12        9.40          9.02
  [O I] 6300      6300.30    2.000e-15        0.01          0.01
  [N II] 6548     6548.10    3.229e-13        1.64          1.54
  Hα              6562.80    5.993e-11      304.08        286.00
  [N II] 6583     6583.50    3.691e-13        1.87          1.76
  He I 6678       6678.20    5.565e-13        2.82          2.65
  [S II] 6716     6716.40    7.606e-16        0.00          0.00
  [S II] 6731     6730.80    2.224e-14        0.11          0.11
